央视,#genre#
南京少儿,http://live.nbs.cn/channels/njtv/sepd/500k.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8

港澳台,#genre#
凤凰资讯,http://27.148.240.138/PLTV/88888888/224/3221226929/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8

翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/qrfbg
明珠台,http://r.jdshipin.com/ZQ4kN
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰香港,http://php.17186.eu.org/phtv/fhhk.m3u8
凤凰香港,http://113.117.74.29:8081/hls/38/index.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港J2频道,http://r.jdshipin.com/Nr5jq
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
澳门莲花,https://cntv.sbs/tv/lhws.php
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd


福建,#genre#
泉州新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.98:1025
三明新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.93:1025
三沙卫视,http://e2.woc.iiiya.cn:8888/udp/239.61.5.191:1025
厦门1,http://e2.woc.iiiya.cn:8888/udp/239.61.4.139:1025
厦门1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.99:1025
厦门2,http://e2.woc.iiiya.cn:8888/udp/239.61.4.140:1025
厦门卫视[785*576],http://e2.woc.iiiya.cn:8888/udp/239.61.4.11:1025
莆田新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.94:1025
都市剧场,http://27.148.240.138/PLTV/88888888/224/3221226724/1.m3u8
福建电视剧,http://e2.woc.iiiya.cn:8888/udp/239.61.4.5:1025
福建公共,http://e2.woc.iiiya.cn:8888/udp/239.61.4.3:1025
福建交通广播HD,http://e2.woc.iiiya.cn:8888/udp/239.61.5.155:1025
福建教育,http://e2.woc.iiiya.cn:8888/udp/239.61.5.60:1025
福建经济HD,http://e2.woc.iiiya.cn:8888/udp/239.61.4.7:1025
福建旅游,http://e2.woc.iiiya.cn:8888/udp/239.61.4.6:1025
福建少儿,http://e2.woc.iiiya.cn:8888/udp/239.61.4.9:1025
福建体育,http://e2.woc.iiiya.cn:8888/udp/239.61.5.44:1025
福建新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.4.4:1025
福建综合,http://e2.woc.iiiya.cn:8888/udp/239.61.5.167:1025
福建综合[751*576],http://e2.woc.iiiya.cn:8888/udp/239.61.4.1:1025
福州新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.97:1025
福建电视剧,http://27.148.240.138/PLTV/88888888/224/3221226732/1.m3u8
福建新闻,http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
福建少儿,,http://27.148.240.138/PLTV/88888888/224/3221226738/1.m3u8
厦门卫视标清,http://27.148.240.138/PLTV/88888888/224/3221226744/1.m3u8
福建综合标清,http://27.148.240.138/PLTV/88888888/224/3221226745/1.m3u8
海峡卫视,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
福建文体,http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
动漫秀场,,http://27.148.240.138/PLTV/88888888/224/3221226750/1.m3u8
